,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
141,Nikita Kucherov,T.B,R,78,1652.7833333333,37,84,56,28,121,79.08,265,13.96,26.22,550,379,250,77,14,50,45,17,15,1,1,28,122,30,23,62,33,1,1,50.00
246,Nathan MacKinnon,COL,C,79,1799.8166666667,32,84,53,31,116,76.82,320,10.00,31.34,590,433,312,90,13,52,41,15,13,1,1,25,121,27,37,68,58,756,758,49.93
276,Leon Draisaitl,EDM,C,71,1527.7333333333,52,54,30,24,106,81.54,241,21.58,31.06,416,340,213,84,17,44,34,17,17,0,0,29,88,35,22,79,27,650,546,54.35
292,David Pastrnak,BOS,R,82,1655.2666666667,43,63,45,18,106,88.33,319,13.48,31.02,624,444,261,90,23,55,42,20,20,0,0,34,118,40,58,89,24,3,5,37.50
371,Mitch Marner,TOR,R,81,1726.55,27,75,47,28,102,76.12,173,15.61,19.92,393,263,201,61,16,32,14,7,7,0,0,18,106,56,49,52,40,10,24,29.41
334,Connor McDavid,EDM,C,67,1476.1,26,74,50,24,100,79.37,196,13.27,26.56,370,282,234,99,13,51,27,12,11,1,0,23,74,32,40,63,18,370,406,47.68
330,Kyle Connor,WPG,L,82,1672.3666666667,41,56,31,25,97,73.48,267,15.36,28.66,484,358,259,89,15,45,25,11,10,1,0,13,80,33,21,46,46,1,7,12.50
335,Jack Eichel,VGK,C,77,1581.0833333333,28,66,27,39,94,69.63,233,12.02,22.69,403,305,201,79,12,31,8,4,4,0,0,15,90,28,22,59,55,573,681,45.69
511,Cale Makar,COL,D,80,2057.3,30,62,34,28,92,61.33,246,12.20,19.22,623,392,253,45,14,53,14,7,7,0,0,26,113,60,51,45,128,0,0,-
6,Sidney Crosby,PIT,C,80,1629.9666666667,33,58,33,25,91,72.80,227,14.54,34.31,415,339,236,115,10,41,31,14,13,1,0,18,86,29,66,45,39,1017,765,57.07
