,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Connor McDavid,29,EDM,C,82,48,90,138,17,44,34,13,1,4,48,41,1,306,15.7,507,1884:48,22:59,457,466,49.5,30,40,32,134,Ross-1,mcdavco01
2,Nikita Kucherov,32,TBL,RW,76,44,86,130,43,50,35,8,1,8,57,29,0,231,19.0,533,1545:28,20:20,0,2,0.0,29,36,21,124,,kucheni01
3,Nathan MacKinnon,30,COL,C,80,53,74,127,57,39,42,11,0,7,55,19,0,350,15.1,598,1780:57,22:16,681,653,51.0,35,64,25,165,Richard-1,mackina01
4,Macklin Celebrini,19,SJS,F,82,45,70,115,8,44,37,8,0,5,45,25,0,287,15.7,543,1747:54,21:19,625,660,48.6,53,53,41,150,,celebma01
5,Mark Scheifele,32,WPG,C,82,36,67,103,0,43,29,7,0,6,51,15,1,175,20.6,328,1763:20,21:30,594,679,46.7,47,32,31,129,,scheima01
6,Nick Suzuki,26,MTL,C,82,29,72,101,37,28,17,11,1,2,40,32,0,183,15.8,385,1707:17,20:49,731,718,50.4,62,62,29,72,,suzukni01
7,Martin Nečas,27,COL,C,78,38,62,100,47,30,29,9,0,5,47,15,0,206,18.4,417,1676:55,21:30,9,12,42.9,26,85,23,123,,necasma01
8,David Pastrňák,29,BOS,RW,77,29,71,100,4,72,19,10,0,4,48,23,0,261,11.1,562,1590:29,20:39,2,7,22.2,32,86,32,134,,pastrda01
9,Leon Draisaitl,30,EDM,C,65,35,62,97,13,26,18,16,1,3,36,26,0,186,18.8,369,1402:23,21:35,628,475,56.9,15,34,26,106,,draisle01
10,Jason Robertson,26,DAL,LW,82,45,51,96,22,32,30,15,0,9,25,26,0,294,15.3,552,1660:45,20:15,1,2,33.3,34,48,24,107,,roberja01
11,Evan Bouchard,26,EDM,D,82,21,74,95,25,30,14,7,0,5,46,26,2,221,9.5,468,2023:34,24:41,0,0,,101,29,33,123,,bouchev01
12,Kyle Connor,29,WPG,LW,82,39,53,92,-2,16,32,5,2,5,38,14,1,274,14.2,498,1763:31,21:30,0,1,0.0,19,36,21,69,,connoky01
13,Jack Eichel,29,VEG,C,74,27,63,90,23,18,25,1,1,6,34,27,2,260,10.4,471,1568:52,21:12,558,613,47.7,40,35,28,120,,eicheja01
14,Kirill Kaprizov,28,MIN,LW,78,45,44,89,10,28,26,19,0,7,31,13,0,268,16.8,534,1727:27,22:09,0,2,0.0,27,52,22,112,,kapriki01
15,Cole Caufield,25,MTL,RW,81,51,37,88,29,14,40,11,0,12,19,18,0,258,19.8,462,1472:52,18:11,6,12,33.3,21,50,22,56,,caufico01
16,Jake Guentzel,31,TBL,C,81,38,50,88,13,61,28,8,2,5,28,22,0,220,17.3,385,1639:55,20:15,209,228,47.8,41,39,23,73,,guentja01
17,Clayton Keller,27,UTA,C,82,26,62,88,20,38,23,3,0,6,38,24,0,225,11.6,425,1564:59,19:05,13,21,38.2,32,8,26,105,,kellecl01
18,Wyatt Johnston,22,DAL,C,82,45,41,86,-5,32,18,27,0,4,26,15,0,206,21.8,402,1650:07,20:07,402,442,47.6,55,56,23,62,,johnswy01
19,Matt Boldy,24,MIN,LW,76,42,43,85,18,30,27,11,4,3,24,19,0,254,16.5,501,1563:15,20:34,55,69,44.4,58,60,34,86,,boldyma01
20,Alex DeBrincat,28,DET,RW,82,41,44,85,8,19,26,15,0,6,36,8,0,287,14.3,579,1517:01,18:30,19,31,38.0,39,38,43,87,,debrial01
21,Artemi Panarin,34,2TM,LW,78,28,56,84,-7,20,24,4,0,4,37,19,0,224,12.5,512,1625:42,20:51,1,0,100.0,16,11,25,105,,panarar01
21,Artemi Panarin,34,NYR,LW,52,19,38,57,-16,14,17,2,0,3,23,15,0,158,12.0,361,1087:20,20:55,1,0,100.0,11,8,15,69,,panarar01
21,Artemi Panarin,34,LAK,LW,26,9,18,27,9,6,7,2,0,1,14,4,0,66,13.6,151,538:22,20:42,0,0,,5,3,10,36,,panarar01
22,Tim Stützle,24,OTT,LW,80,34,49,83,7,39,23,9,2,5,29,20,0,194,17.5,364,1621:24,20:16,338,300,53.0,44,126,34,92,,stuetti02
23,Tage Thompson,28,BUF,C,81,40,41,81,-6,35,34,6,0,5,22,18,1,272,14.7,557,1558:44,19:15,390,468,45.5,48,85,28,69,,thompta01
24,Zach Werenski,28,CBJ,D,75,22,59,81,7,18,18,4,0,2,41,17,1,260,8.5,590,1996:04,26:37,0,0,,94,30,35,125,,werenza01
25,Sebastian Aho,28,CAR,F,79,27,53,80,11,46,18,7,2,4,29,20,4,195,13.8,406,1549:23,19:37,596,585,50.5,23,63,31,109,,ahose01
26,Mitch Marner,28,VEG,RW,81,24,56,80,17,24,19,5,0,2,36,19,1,165,14.5,372,1616:34,19:57,150,222,40.3,46,24,40,104,,marnemi01
27,Cale Makar,27,COL,D,75,20,59,79,32,24,16,4,0,4,34,25,0,199,10.1,546,1864:22,24:51,0,0,,117,35,40,86,,makarca01
28,William Nylander,29,TOR,C,65,30,49,79,-14,16,23,7,0,4,34,15,0,156,19.2,308,1262:01,19:25,31,50,38.3,26,13,31,68,,nylanwi01
